time	V(vo)
1.001707964596767e-03	7.175245e+00
1.001729674868850e-03	7.177280e+00
1.001753093756379e-03	7.179474e+00
1.001774762605192e-03	7.181502e+00
1.001797710822219e-03	7.183648e+00
1.001819639490590e-03	7.185698e+00
1.001842507813604e-03	7.187833e+00
1.001864601084372e-03	7.189894e+00
1.001887310923383e-03	7.192011e+00
1.001909488730732e-03	7.194077e+00
1.001932116244073e-03	7.196184e+00
1.001954375374911e-03	7.198254e+00
1.001976943027930e-03	7.200352e+00
1.001999249832328e-03	7.202423e+00
1.002021773177894e-03	7.204513e+00
1.002029999862502e-03	7.205276e+00
1.002030822530963e-03	7.205352e+00
1.002032043845128e-03	7.205466e+00
1.002032741917164e-03	7.205531e+00
1.002033535009269e-03	7.205604e+00
1.002034593029001e-03	7.205702e+00
1.002035667025197e-03	7.205801e+00
1.002037396424211e-03	7.205962e+00
1.002039637221622e-03	7.206170e+00
1.002043205407669e-03	7.206501e+00
1.002049745837624e-03	7.207107e+00
1.002062518550986e-03	7.208290e+00
1.002088063977709e-03	7.210655e+00
1.002110537867454e-03	7.212734e+00
1.002134834095949e-03	7.214980e+00
1.002150029782923e-03	7.216383e+00
1.002163856903107e-03	7.217660e+00
1.002172415067389e-03	7.218450e+00
1.002180799376001e-03	7.219223e+00
1.002188939201420e-03	7.219974e+00
1.002197970132876e-03	7.220807e+00
1.002206801367559e-03	7.221621e+00
1.002218148964833e-03	7.222666e+00
1.002230272250771e-03	7.223783e+00
1.002245746719082e-03	7.225208e+00
1.002265487607853e-03	7.227024e+00
1.002291619772616e-03	7.229426e+00
1.002330674183113e-03	7.233013e+00
1.002392016191399e-03	7.238637e+00
1.002457760829544e-03	7.244652e+00
1.002519340101156e-03	7.250273e+00
1.002585441082138e-03	7.256294e+00
1.002648299153143e-03	7.262007e+00
1.002713662947649e-03	7.267934e+00
1.002722049627250e-03	7.268693e+00
1.002731561525929e-03	7.269555e+00
1.002737590259529e-03	7.270101e+00
1.002743374870342e-03	7.270624e+00
1.002750099434007e-03	7.271233e+00
1.002750491373625e-03	7.271268e+00
1.002751275252863e-03	7.271339e+00
1.002751471222672e-03	7.271357e+00
1.002751863162291e-03	7.271392e+00
1.002752646782272e-03	7.271463e+00
1.002752659163630e-03	7.271464e+00
1.002752683926346e-03	7.271466e+00
1.002752733451778e-03	7.271471e+00
1.002752742134782e-03	7.271472e+00
1.002752745607984e-03	7.271472e+00
1.002752752554388e-03	7.271472e+00
1.002752752557780e-03	7.271472e+00
1.002752752564564e-03	7.271472e+00
1.002752752578131e-03	7.271472e+00
1.002752752605265e-03	7.271472e+00
1.002752752606113e-03	7.271472e+00
1.002752752607809e-03	7.271472e+00
1.002752752608233e-03	7.271472e+00
1.002752752608339e-03	7.271472e+00
1.002752752608551e-03	7.271472e+00
1.002752752608604e-03	7.271472e+00
1.002752752608617e-03	7.271472e+00
1.002752752608644e-03	7.271472e+00
1.002752752608696e-03	7.271472e+00
1.002752752608803e-03	7.271472e+00
1.002752752609015e-03	7.271472e+00
1.002752752609439e-03	7.271472e+00
1.002752752609448e-03	7.271472e+00
1.002752752609468e-03	7.271472e+00
1.002752752609478e-03	7.271472e+00
1.002752752609488e-03	7.271472e+00
1.002752752609498e-03	7.271472e+00
1.002752752609508e-03	7.271472e+00
1.002752752609518e-03	7.271472e+00
1.002752752609538e-03	7.271472e+00
1.002752752609548e-03	7.271472e+00
1.002752752609558e-03	7.271472e+00
1.002752752609568e-03	7.271472e+00
1.002752752609588e-03	7.271472e+00
1.002752752609598e-03	7.271472e+00
1.002752752609618e-03	7.271472e+00
1.002752752609628e-03	7.271472e+00
1.002752752609638e-03	7.271472e+00
1.002752752609648e-03	7.271472e+00
1.002752752609668e-03	7.271472e+00
1.002752752609678e-03	7.271472e+00
1.002752752609698e-03	7.271472e+00
1.002752752609708e-03	7.271472e+00
1.002752752609718e-03	7.271472e+00
1.002752752609738e-03	7.271472e+00
1.002752752609778e-03	7.271472e+00
1.002752752609858e-03	7.271472e+00
1.002752752609878e-03	7.271472e+00
1.002752752609888e-03	7.271472e+00
1.002752752609898e-03	7.271472e+00
1.002752752609908e-03	7.271472e+00
1.002752752609918e-03	7.271472e+00
1.002752752609927e-03	7.271472e+00
1.002752752609947e-03	7.271472e+00
1.002752752609957e-03	7.271472e+00
1.002752752609977e-03	7.271472e+00
1.002752752610017e-03	7.271472e+00
1.002752752610097e-03	7.271472e+00
1.002752752610117e-03	7.271472e+00
1.002752752610127e-03	7.271472e+00
1.002752752610147e-03	7.271472e+00
1.002752752610187e-03	7.271472e+00
1.002752752610197e-03	7.271472e+00
1.002752752610207e-03	7.271472e+00
1.002752752610227e-03	7.271472e+00
1.002752752610237e-03	7.271472e+00
1.002752752610257e-03	7.271472e+00
1.002752752610267e-03	7.271472e+00
1.002752752610277e-03	7.271472e+00
1.002752752610297e-03	7.271472e+00
1.002752752610307e-03	7.271472e+00
1.002752752610327e-03	7.271472e+00
1.002752752610337e-03	7.271472e+00
1.002752752610357e-03	7.271472e+00
1.002752752610397e-03	7.271472e+00
1.002752752610406e-03	7.271472e+00
1.002752752610426e-03	7.271472e+00
1.002752752610466e-03	7.271472e+00
1.002752752610476e-03	7.271472e+00
1.002752752610486e-03	7.271472e+00
1.002752752610506e-03	7.271472e+00
1.002752752610546e-03	7.271472e+00
1.002752752610556e-03	7.271472e+00
1.002752752610566e-03	7.271472e+00
1.002752752610586e-03	7.271472e+00
1.002752752610596e-03	7.271472e+00
1.002752752610616e-03	7.271472e+00
1.002752752610626e-03	7.271472e+00
1.002752752610636e-03	7.271472e+00
1.002752752610656e-03	7.271472e+00
1.002752752610666e-03	7.271472e+00
1.002752752610686e-03	7.271472e+00
1.002752752610696e-03	7.271472e+00
1.002752752610716e-03	7.271472e+00
1.002752752610756e-03	7.271472e+00
1.002752752610836e-03	7.271472e+00
1.002752752610996e-03	7.271472e+00
1.002752752611036e-03	7.271472e+00
1.002752752611046e-03	7.271472e+00
1.002752752611055e-03	7.271472e+00
1.002752752611075e-03	7.271472e+00
1.002752752611085e-03	7.271472e+00
1.002752752611105e-03	7.271472e+00
1.002752752611115e-03	7.271472e+00
1.002752752611125e-03	7.271472e+00
1.002752752611135e-03	7.271472e+00
1.002752752611155e-03	7.271472e+00
1.002752752611195e-03	7.271472e+00
1.002752752611275e-03	7.271472e+00
1.002752752611295e-03	7.271472e+00
1.002752752611335e-03	7.271472e+00
1.002752752611415e-03	7.271472e+00
1.002752752611435e-03	7.271472e+00
1.002752752611445e-03	7.271472e+00
1.002752752611455e-03	7.271472e+00
1.002752752611465e-03	7.271472e+00
1.002752752611475e-03	7.271472e+00
1.002752752611495e-03	7.271472e+00
1.002752752611505e-03	7.271472e+00
1.002752752611525e-03	7.271472e+00
1.002752752611565e-03	7.271472e+00
1.002752752611645e-03	7.271472e+00
1.002752752611655e-03	7.271472e+00
1.002752752611665e-03	7.271472e+00
1.002752752611675e-03	7.271472e+00
1.002752752611685e-03	7.271472e+00
1.002752752611704e-03	7.271472e+00
1.002752752611714e-03	7.271472e+00
1.002752752611724e-03	7.271472e+00
1.002752752611734e-03	7.271472e+00
1.002752752611744e-03	7.271472e+00
1.002752752611764e-03	7.271472e+00
1.002752752611774e-03	7.271472e+00
1.002752752611794e-03	7.271472e+00
1.002752752611804e-03	7.271472e+00
1.002752752611824e-03	7.271472e+00
1.002752752611834e-03	7.271472e+00
1.002752752611854e-03	7.271472e+00
1.002752752611864e-03	7.271472e+00
1.002752752611874e-03	7.271472e+00
1.002752752611894e-03	7.271472e+00
1.002752752611934e-03	7.271472e+00
1.002752752612014e-03	7.271472e+00
1.002752752612174e-03	7.271472e+00
1.002752752612214e-03	7.271472e+00
1.002752752612224e-03	7.271472e+00
1.002752752612244e-03	7.271472e+00
1.002752752612284e-03	7.271472e+00
1.002752752612294e-03	7.271472e+00
1.002752752612304e-03	7.271472e+00
1.002752752612314e-03	7.271472e+00
1.002752752612334e-03	7.271472e+00
1.002752752612373e-03	7.271472e+00
1.002752752612453e-03	7.271472e+00
1.002752752612463e-03	7.271472e+00
1.002752752612483e-03	7.271472e+00
1.002752752612493e-03	7.271472e+00
1.002752752612513e-03	7.271472e+00
1.002752752612523e-03	7.271472e+00
1.002752752612533e-03	7.271472e+00
1.002752752612543e-03	7.271472e+00
1.002752752612553e-03	7.271472e+00
1.002752752612573e-03	7.271472e+00
1.002752752612583e-03	7.271472e+00
1.002752752612603e-03	7.271472e+00
1.002752752612643e-03	7.271472e+00
1.002752752612653e-03	7.271472e+00
1.002752752612673e-03	7.271472e+00
1.002752752612683e-03	7.271472e+00
1.002752752612693e-03	7.271472e+00
1.002752752612713e-03	7.271472e+00
1.002752752612723e-03	7.271472e+00
1.002752752612733e-03	7.271472e+00
1.002752752612743e-03	7.271472e+00
1.002752752612763e-03	7.271472e+00
1.002752752612773e-03	7.271472e+00
1.002752752612793e-03	7.271472e+00
1.002752752612803e-03	7.271472e+00
1.002752752612813e-03	7.271472e+00
1.002752752612832e-03	7.271472e+00
1.002752752612842e-03	7.271472e+00
1.002752752612862e-03	7.271472e+00
1.002752752612902e-03	7.271472e+00
1.002752752612912e-03	7.271472e+00
1.002752752612922e-03	7.271472e+00
1.002752752612942e-03	7.271472e+00
1.002752752612952e-03	7.271472e+00
1.002752752612972e-03	7.271472e+00
1.002752752612982e-03	7.271472e+00
1.002752752613002e-03	7.271472e+00
1.002752752613012e-03	7.271472e+00
1.002752752613032e-03	7.271472e+00
1.002752752613042e-03	7.271472e+00
1.002752752613052e-03	7.271472e+00
1.002752752613072e-03	7.271472e+00
1.002752752613082e-03	7.271472e+00
1.002752752613102e-03	7.271472e+00
1.002752752613142e-03	7.271472e+00
1.002752752613222e-03	7.271472e+00
1.002752752613382e-03	7.271472e+00
1.002752752613392e-03	7.271472e+00
1.002752752613412e-03	7.271472e+00
1.002752752613452e-03	7.271472e+00
1.002752752613532e-03	7.271472e+00
1.002752752613552e-03	7.271472e+00
1.002752752613562e-03	7.271472e+00
1.002752752613571e-03	7.271472e+00
1.002752752613591e-03	7.271472e+00
1.002752752613601e-03	7.271472e+00
1.002752752613611e-03	7.271472e+00
1.002752752613621e-03	7.271472e+00
1.002752752613641e-03	7.271472e+00
1.002752752613651e-03	7.271472e+00
1.002752752613671e-03	7.271472e+00
1.002752752613711e-03	7.271472e+00
1.002752752613721e-03	7.271472e+00
1.002752752613741e-03	7.271472e+00
1.002752752613751e-03	7.271472e+00
1.002752752613761e-03	7.271472e+00
1.002752752613781e-03	7.271472e+00
1.002752752613791e-03	7.271472e+00
1.002752752613801e-03	7.271472e+00
1.002752752613811e-03	7.271472e+00
1.002752752613831e-03	7.271472e+00
1.002752752613841e-03	7.271472e+00
1.002752752613851e-03	7.271472e+00
1.002752752613861e-03	7.271472e+00
1.002752752613881e-03	7.271472e+00
1.002752752613921e-03	7.271472e+00
1.002752752613931e-03	7.271472e+00
1.002752752613941e-03	7.271472e+00
1.002752752613961e-03	7.271472e+00
1.002752752613970e-03	7.271472e+00
1.002752752613990e-03	7.271472e+00
1.002752752614030e-03	7.271472e+00
1.002752752614110e-03	7.271472e+00
1.002752752614130e-03	7.271472e+00
1.002752752614170e-03	7.271472e+00
1.002752752614180e-03	7.271472e+00
