time	I(R20)+I(R21)
8.980761782266740e-05	8.545881e-01
8.990761782266741e-05	8.552577e-01
9.000761782266741e-05	8.560229e-01
9.010761782266741e-05	8.568766e-01
9.020761782266741e-05	8.578194e-01
9.030761782266742e-05	8.588443e-01
9.040761782266742e-05	8.599518e-01
9.050761782266742e-05	8.611348e-01
9.060761782266742e-05	8.623939e-01
9.070761782266743e-05	8.637222e-01
9.080761782266743e-05	8.651202e-01
9.090761782266743e-05	8.665810e-01
9.100761782266743e-05	8.681054e-01
9.110761782266744e-05	8.696865e-01
9.120761782266744e-05	8.713249e-01
9.130761782266744e-05	8.730140e-01
9.140761782266744e-05	8.747546e-01
9.150761782266745e-05	8.765401e-01
9.160761782266745e-05	8.783712e-01
9.170761782266745e-05	8.802414e-01
9.180761782266745e-05	8.821517e-01
9.190761782266746e-05	8.840955e-01
9.200761782266746e-05	8.860737e-01
9.210761782266746e-05	8.880801e-01
9.220761782266746e-05	8.901154e-01
9.230761782266747e-05	8.921733e-01
9.240761782266747e-05	8.942549e-01
9.250761782266747e-05	8.963536e-01
9.260761782266747e-05	8.984707e-01
9.270761782266748e-05	9.005996e-01
9.280761782266748e-05	9.027414e-01
9.290761782266748e-05	9.048897e-01
9.300761782266748e-05	9.070455e-01
9.310761782266748e-05	9.092025e-01
9.320761782266749e-05	9.113615e-01
9.330761782266749e-05	9.135163e-01
9.340761782266749e-05	9.156676e-01
9.350761782266749e-05	9.178092e-01
9.360761782266750e-05	9.199418e-01
9.370761782266750e-05	9.220591e-01
9.380761782266750e-05	9.241617e-01
9.390761782266750e-05	9.262434e-01
9.400761782266751e-05	9.283048e-01
9.410761782266751e-05	9.303394e-01
9.420761782266751e-05	9.323479e-01
9.430761782266751e-05	9.343239e-01
9.440761782266752e-05	9.362680e-01
9.450761782266752e-05	9.381737e-01
9.460761782266752e-05	9.400417e-01
9.470761782266752e-05	9.418654e-01
9.480761782266753e-05	9.436455e-01
9.490761782266753e-05	9.453755e-01
9.500761782266753e-05	9.470561e-01
9.510761782266753e-05	9.486809e-01
9.520761782266754e-05	9.502506e-01
9.530761782266754e-05	9.517589e-01
9.540761782266754e-05	9.532066e-01
9.550761782266754e-05	9.545875e-01
9.560761782266755e-05	9.559026e-01
9.570761782266755e-05	9.571458e-01
9.580761782266755e-05	9.583183e-01
9.590761782266755e-05	9.594142e-01
9.600761782266756e-05	9.604349e-01
9.610761782266756e-05	9.613747e-01
9.620761782266756e-05	9.622353e-01
9.630761782266756e-05	9.630113e-01
9.640761782266756e-05	9.637048e-01
9.650761782266757e-05	9.643106e-01
9.660761782266757e-05	9.648310e-01
9.670761782266757e-05	9.652614e-01
9.680761782266757e-05	9.656043e-01
9.690761782266758e-05	9.658555e-01
9.700761782266758e-05	9.660179e-01
9.710761782266758e-05	9.660878e-01
9.720761782266758e-05	9.660685e-01
9.730761782266759e-05	9.659565e-01
9.740761782266759e-05	9.657556e-01
9.750761782266759e-05	9.654628e-01
9.760761782266759e-05	9.650823e-01
9.770761782266760e-05	9.646115e-01
9.780761782266760e-05	9.640548e-01
9.790761782266760e-05	9.634103e-01
9.800761782266760e-05	9.626827e-01
9.810761782266761e-05	9.618703e-01
9.820761782266761e-05	9.609784e-01
9.830761782266761e-05	9.600055e-01
9.840761782266761e-05	9.589574e-01
9.850761782266762e-05	9.578329e-01
9.860761782266762e-05	9.566379e-01
9.870761782266762e-05	9.553717e-01
9.880761782266762e-05	9.540405e-01
9.890761782266763e-05	9.526439e-01
9.900761782266763e-05	9.511881e-01
9.910761782266763e-05	9.496731e-01
9.920761782266763e-05	9.481054e-01
9.930761782266764e-05	9.464851e-01
9.940761782266764e-05	9.448190e-01
9.950761782266764e-05	9.431073e-01
9.960761782266764e-05	9.413568e-01
9.970761782266765e-05	9.395680e-01
9.980761782266765e-05	9.377479e-01
9.990761782266765e-05	9.358970e-01
1.000076178226677e-04	9.340224e-01
1.001076178226677e-04	9.321247e-01
1.002076178226677e-04	9.302112e-01
1.003076178226677e-04	9.282823e-01
1.004076178226677e-04	9.263455e-01
1.005076178226677e-04	9.244012e-01
1.006076178226677e-04	9.224568e-01
1.007076178226677e-04	9.205130e-01
1.008076178226677e-04	9.185769e-01
1.009076178226677e-04	9.166492e-01
1.010076178226677e-04	9.147370e-01
1.011076178226677e-04	9.128410e-01
1.012076178226677e-04	9.109680e-01
1.013076178226677e-04	9.091187e-01
1.014076178226677e-04	9.073000e-01
1.015076178226677e-04	9.055122e-01
1.016076178226677e-04	9.037620e-01
1.017076178226677e-04	9.020496e-01
1.018076178226677e-04	9.003816e-01
1.019076178226677e-04	8.987579e-01
1.020076178226677e-04	8.971846e-01
1.021076178226677e-04	8.956618e-01
1.022076178226677e-04	8.941952e-01
1.023076178226677e-04	8.927843e-01
1.024076178226677e-04	8.914348e-01
1.025076178226677e-04	8.901457e-01
1.026076178226677e-04	8.889224e-01
1.027076178226677e-04	8.877636e-01
1.028076178226677e-04	8.866742e-01
1.029076178226677e-04	8.856527e-01
1.030076178226677e-04	8.847036e-01
