time	V(vcc)	V(vo)
1.161352105514481e-05	9.669770e+00	4.981017e+00
1.171352105514481e-05	9.676074e+00	4.979184e+00
1.181352105514481e-05	9.681683e+00	4.977279e+00
1.191352105514481e-05	9.686574e+00	4.975307e+00
1.201352105514481e-05	9.690729e+00	4.973273e+00
1.211352105514482e-05	9.694132e+00	4.971186e+00
1.221352105514482e-05	9.696769e+00	4.969052e+00
1.231352105514482e-05	9.698628e+00	4.966880e+00
1.241352105514482e-05	9.699705e+00	4.964676e+00
1.251352105514482e-05	9.699993e+00	4.962451e+00
1.261352105514482e-05	9.699492e+00	4.960211e+00
1.271352105514482e-05	9.698203e+00	4.957965e+00
1.281352105514482e-05	9.696132e+00	4.955720e+00
1.291352105514482e-05	9.693287e+00	4.953485e+00
1.301352105514482e-05	9.689679e+00	4.951269e+00
1.311352105514482e-05	9.685323e+00	4.949079e+00
1.321352105514482e-05	9.680236e+00	4.946923e+00
1.331352105514482e-05	9.674437e+00	4.944811e+00
1.341352105514483e-05	9.667949e+00	4.942752e+00
1.351352105514483e-05	9.660799e+00	4.940753e+00
1.361352105514483e-05	9.653014e+00	4.938823e+00
1.371352105514483e-05	9.644626e+00	4.936971e+00
1.381352105514483e-05	9.635666e+00	4.935206e+00
1.391352105514483e-05	9.626171e+00	4.933535e+00
1.401352105514483e-05	9.616179e+00	4.931968e+00
1.411352105514483e-05	9.605727e+00	4.930513e+00
1.421352105514483e-05	9.594858e+00	4.929178e+00
1.431352105514483e-05	9.583615e+00	4.927973e+00
1.441352105514483e-05	9.572042e+00	4.926905e+00
1.451352105514483e-05	9.560185e+00	4.925982e+00
1.461352105514483e-05	9.548091e+00	4.925214e+00
1.471352105514483e-05	9.535806e+00	4.924607e+00
1.481352105514484e-05	9.523380e+00	4.924170e+00
1.491352105514484e-05	9.510862e+00	4.923910e+00
1.501352105514484e-05	9.498301e+00	4.923833e+00
1.511352105514484e-05	9.485746e+00	4.923945e+00
1.521352105514484e-05	9.473248e+00	4.924252e+00
1.531352105514484e-05	9.460856e+00	4.924755e+00
1.541352105514484e-05	9.448618e+00	4.925457e+00
1.551352105514484e-05	9.436583e+00	4.926358e+00
1.561352105514484e-05	9.424798e+00	4.927452e+00
1.571352105514484e-05	9.413310e+00	4.928733e+00
1.581352105514483e-05	9.402164e+00	4.930191e+00
1.591352105514483e-05	9.391404e+00	4.931807e+00
1.601352105514483e-05	9.381073e+00	4.933562e+00
1.611352105514483e-05	9.371211e+00	4.935429e+00
1.621352105514483e-05	9.361857e+00	4.937378e+00
1.631352105514483e-05	9.353048e+00	4.939373e+00
1.641352105514483e-05	9.344820e+00	4.941381e+00
1.651352105514483e-05	9.337204e+00	4.943369e+00
1.661352105514483e-05	9.330230e+00	4.945312e+00
1.671352105514483e-05	9.323926e+00	4.947194e+00
1.681352105514482e-05	9.318317e+00	4.949016e+00
1.691352105514482e-05	9.313426e+00	4.950792e+00
1.701352105514482e-05	9.309271e+00	4.952552e+00
1.711352105514482e-05	9.305868e+00	4.954331e+00
1.721352105514482e-05	9.303231e+00	4.956162e+00
1.731352105514482e-05	9.301372e+00	4.958072e+00
1.741352105514482e-05	9.300295e+00	4.960067e+00
1.751352105514482e-05	9.300007e+00	4.962137e+00
1.761352105514482e-05	9.300508e+00	4.964255e+00
1.771352105514482e-05	9.301797e+00	4.966383e+00
1.781352105514482e-05	9.303868e+00	4.968481e+00
1.791352105514481e-05	9.306713e+00	4.970519e+00
1.801352105514481e-05	9.310321e+00	4.972483e+00
1.811352105514481e-05	9.314677e+00	4.974372e+00
1.821352105514481e-05	9.319764e+00	4.976201e+00
1.831352105514481e-05	9.325563e+00	4.977986e+00
1.841352105514481e-05	9.332051e+00	4.979740e+00
1.851352105514481e-05	9.339201e+00	4.981462e+00
1.861352105514481e-05	9.346986e+00	4.983140e+00
1.871352105514481e-05	9.355374e+00	4.984752e+00
1.881352105514481e-05	9.364334e+00	4.986275e+00
1.891352105514480e-05	9.373829e+00	4.987693e+00
1.901352105514480e-05	9.383821e+00	4.988997e+00
1.911352105514480e-05	9.394273e+00	4.990191e+00
1.921352105514480e-05	9.405142e+00	4.991281e+00
1.931352105514480e-05	9.416385e+00	4.992272e+00
1.941352105514480e-05	9.427958e+00	4.993162e+00
1.951352105514480e-05	9.439815e+00	4.993944e+00
1.961352105514480e-05	9.451909e+00	4.994606e+00
1.971352105514480e-05	9.464194e+00	4.995136e+00
1.981352105514480e-05	9.476620e+00	4.995530e+00
1.991352105514480e-05	9.489138e+00	4.995788e+00
2.001352105514479e-05	9.501699e+00	4.995914e+00
2.011352105514479e-05	9.514254e+00	4.995911e+00
2.021352105514479e-05	9.526752e+00	4.995783e+00
2.031352105514479e-05	9.539144e+00	4.995527e+00
2.041352105514479e-05	9.551382e+00	4.995140e+00
2.051352105514479e-05	9.563417e+00	4.994618e+00
2.061352105514479e-05	9.575202e+00	4.993963e+00
2.071352105514479e-05	9.586690e+00	4.993177e+00
2.081352105514479e-05	9.597836e+00	4.992268e+00
2.091352105514479e-05	9.608596e+00	4.991239e+00
2.101352105514478e-05	9.618927e+00	4.990095e+00
2.111352105514478e-05	9.628789e+00	4.988840e+00
2.121352105514478e-05	9.638143e+00	4.987476e+00
2.131352105514478e-05	9.646952e+00	4.986006e+00
2.141352105514478e-05	9.655180e+00	4.984435e+00
2.151352105514478e-05	9.662796e+00	4.982769e+00
2.161352105514478e-05	9.669770e+00	4.981017e+00
2.171352105514478e-05	9.676074e+00	4.979184e+00
2.181352105514478e-05	9.681683e+00	4.977279e+00
2.191352105514478e-05	9.686574e+00	4.975307e+00
2.201352105514477e-05	9.690729e+00	4.973273e+00
2.211352105514477e-05	9.694132e+00	4.971186e+00
2.221352105514477e-05	9.696769e+00	4.969052e+00
2.231352105514477e-05	9.698628e+00	4.966880e+00
2.241352105514477e-05	9.699705e+00	4.964676e+00
2.251352105514477e-05	9.699993e+00	4.962451e+00
2.261352105514477e-05	9.699492e+00	4.960211e+00
2.271352105514477e-05	9.698203e+00	4.957965e+00
2.281352105514477e-05	9.696132e+00	4.955720e+00
2.291352105514477e-05	9.693287e+00	4.953485e+00
2.301352105514477e-05	9.689679e+00	4.951269e+00
2.311352105514476e-05	9.685323e+00	4.949079e+00
2.321352105514476e-05	9.680236e+00	4.946923e+00
2.331352105514476e-05	9.674437e+00	4.944811e+00
2.341352105514476e-05	9.667949e+00	4.942752e+00
2.351352105514476e-05	9.660799e+00	4.940753e+00
2.361352105514476e-05	9.653014e+00	4.938823e+00
2.371352105514476e-05	9.644626e+00	4.936971e+00
2.381352105514476e-05	9.635666e+00	4.935206e+00
2.391352105514476e-05	9.626171e+00	4.933535e+00
2.401352105514476e-05	9.616179e+00	4.931968e+00
2.411352105514475e-05	9.605727e+00	4.930513e+00
2.421352105514475e-05	9.594858e+00	4.929178e+00
2.431352105514475e-05	9.583615e+00	4.927973e+00
2.441352105514475e-05	9.572042e+00	4.926905e+00
